Date,US_S&P500,US_DowJones,US_NASDAQ,Europe_EuroStoxx50,UK_FTSE100,Japan_Nikkei225,HongKong_HangSeng,Egypt_EGX30
2018-01-08,2747.7099609375,25283.0,7157.39013671875,3616.449951171875,7696.5,,30899.529296875,
2018-01-09,2751.2900390625,25385.80078125,7163.580078125,3622.8701171875,7731.0,23849.990234375,31011.41015625,
2018-01-10,2748.22998046875,25369.130859375,7153.56982421875,3609.830078125,7748.5,23788.19921875,31073.720703125,
2018-01-11,2767.56005859375,25574.73046875,7211.77978515625,3595.239990234375,7762.89990234375,23710.4296875,31120.390625,
2018-01-12,2786.239990234375,25803.189453125,7261.06005859375,3612.610107421875,7778.60009765625,23653.8203125,31412.5390625,
2018-01-15,,,,3611.81005859375,7769.10009765625,23714.880859375,31338.869140625,
2018-01-16,2776.419921875,25792.859375,7223.68994140625,3622.010009765625,7755.89990234375,23951.810546875,31904.75,
2018-01-17,2802.56005859375,26115.650390625,7298.27978515625,3612.780029296875,7725.39990234375,23868.33984375,31983.41015625,
2018-01-18,2798.030029296875,26017.810546875,7296.0498046875,3620.909912109375,7701.0,23763.369140625,32121.939453125,
2018-01-19,2810.300048828125,26071.720703125,7336.3798828125,3649.070068359375,7730.7998046875,23808.060546875,32254.890625,
2018-01-22,2832.969970703125,26214.599609375,7408.02978515625,3665.280029296875,7715.39990234375,23816.330078125,32393.41015625,
2018-01-23,2839.1298828125,26210.810546875,7460.2900390625,3672.2900390625,7731.7998046875,24124.150390625,32930.69921875,
2018-01-24,2837.5400390625,26252.119140625,7415.06005859375,3643.219970703125,7643.39990234375,23940.779296875,32958.69140625,
2018-01-25,2839.25,26392.7890625,7411.16015625,3630.14990234375,7615.7998046875,23669.490234375,32654.44921875,
2018-01-26,2872.8701171875,26616.7109375,7505.77001953125,3647.409912109375,7665.5,23631.880859375,33154.12109375,
2018-01-29,2853.530029296875,26439.48046875,7466.509765625,3643.0400390625,7671.5,23629.33984375,32966.890625,
2018-01-30,2822.429931640625,26076.890625,7402.47998046875,3606.75,7588.0,23291.970703125,32607.2890625,
2018-01-31,2823.81005859375,26149.390625,7411.47998046875,3609.2900390625,7533.60009765625,23098.2890625,32887.26953125,
2018-02-01,2821.97998046875,26186.7109375,7385.85986328125,3577.35009765625,7490.39990234375,23486.109375,32642.08984375,
2018-02-02,2762.1298828125,25520.9609375,7240.9501953125,3523.280029296875,7443.39990234375,23274.529296875,32601.779296875,
2018-02-05,2648.93994140625,24345.75,6967.52978515625,3478.77001953125,7335.0,22682.080078125,32245.220703125,
2018-02-06,2695.139892578125,24912.76953125,7115.8798828125,3394.919921875,7141.39990234375,21610.240234375,30595.419921875,
2018-02-07,2681.659912109375,24893.349609375,7051.97998046875,3454.52001953125,7279.39990234375,21645.369140625,30323.19921875,
2018-02-08,2581.0,23860.4609375,6777.16015625,3377.300048828125,7170.7001953125,21890.859375,30451.26953125,
2018-02-09,2619.550048828125,24190.900390625,6874.490234375,3325.989990234375,7092.39990234375,21382.619140625,29507.419921875,
2018-02-12,2656.0,24601.26953125,6981.9599609375,3368.25,7177.10009765625,,29459.630859375,
2018-02-13,2662.93994140625,24640.44921875,7013.509765625,3340.929931640625,7168.0,21244.6796875,29839.529296875,
2018-02-14,2698.6298828125,24893.490234375,7143.6201171875,3369.830078125,7214.0,21154.169921875,30515.599609375,
2018-02-15,2731.199951171875,25200.369140625,7256.43017578125,3389.6298828125,7234.7998046875,21464.98046875,31115.4296875,
2018-02-16,2732.219970703125,25219.380859375,7239.47021484375,3426.800048828125,7294.7001953125,21720.25,,
2018-02-19,,,,3407.7900390625,7247.7001953125,22149.2109375,,
2018-02-20,2716.260009765625,24964.75,7234.31005859375,3435.080078125,7246.7998046875,21925.099609375,30873.630859375,
2018-02-21,2701.330078125,24797.779296875,7218.22998046875,3430.159912109375,7281.60009765625,21970.810546875,31431.890625,
2018-02-22,2703.9599609375,24962.48046875,7210.08984375,3431.989990234375,7252.39990234375,21736.439453125,30965.6796875,
2018-02-23,2747.300048828125,25309.990234375,7337.39013671875,3441.4599609375,7244.39990234375,21892.779296875,31267.169921875,
2018-02-26,2779.60009765625,25709.26953125,7421.4599609375,3463.179931640625,7289.60009765625,22153.630859375,31498.599609375,
2018-02-27,2744.280029296875,25410.029296875,7330.35009765625,3458.030029296875,7282.5,22389.859375,31268.66015625,
2018-02-28,2713.830078125,25029.19921875,7273.009765625,3438.9599609375,7231.89990234375,22068.240234375,30844.720703125,
2018-03-01,2677.669921875,24608.98046875,7180.56005859375,3399.159912109375,7175.60009765625,21724.470703125,31044.25,
2018-03-02,2691.25,24538.060546875,7257.8701171875,3324.75,7069.89990234375,21181.640625,30583.44921875,
2018-03-05,2720.93994140625,24874.759765625,7330.7099609375,3355.320068359375,7116.0,21042.08984375,29886.390625,
2018-03-06,2728.1201171875,24884.119140625,7372.009765625,3357.860107421875,7146.7998046875,21417.759765625,30510.73046875,
2018-03-07,2726.800048828125,24801.359375,7396.64990234375,3377.360107421875,7157.7998046875,21252.720703125,30196.919921875,
